t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
6.304,0,0,0,167391,75857,-52988,335939,154172,-221374,-204282,30713,128540,-343039,-212930,164717
6.312,0,0,0,167230,76099,-52804,335706,153920,-221382,-204295,30993,128687,-342843,-212958,164465
6.32,0,0,0,167071,76336,-52625,335477,153673,-221390,-204306,31267,128831,-342651,-212986,164217
6.328,0,0,0,166916,76567,-52450,335253,153431,-221397,-204317,31535,128970,-342463,-213012,163975
6.336,0,0,0,166764,76793,-52279,335033,153194,-221403,-204327,31797,129106,-342278,-213036,163738
6.344,0,0,0,166616,77013,-52113,334817,152963,-221408,-204337,32052,129239,-342096,-213060,163507
6.352,0,0,0,166471,77227,-51951,334606,152738,-221413,-204346,32301,129367,-341919,-213083,163281
6.36,0,0,0,166330,77435,-51793,334400,152518,-221417,-204354,32544,129492,-341745,-213104,163061
6.368,0,0,0,166193,77638,-51640,334199,152304,-221420,-204362,32779,129613,-341576,-213124,162846
6.376,0,0,0,166059,77834,-51492,334003,152095,-221423,-204369,33008,129730,-341410,-213144,162638
6.384,0,0,0,165929,78024,-51348,333813,151893,-221425,-204376,33230,129843,-341250,-213162,162436
6.392,0,0,0,165803,78209,-51209,333627,151697,-221426,-204382,33444,129953,-341093,-213180,162239
6.4,0,0,0,165681,78387,-51075,333448,151507,-221427,-204388,33652,130058,-340942,-213196,162049
6.408,0,0,0,165563,78558,-50946,333274,151324,-221428,-204393,33852,130160,-340795,-213212,161866
6.416,0,0,0,165450,78724,-50821,333106,151147,-221412,-204398,34045,130257,-340653,-213226,161689
6.424,0,0,0,165340,78883,-50702,332944,150977,-221428,-204402,34231,130351,-340516,-213240,161519
6.432,0,0,0,165235,79035,-50587,332788,150813,-221412,-204406,34409,130441,-340384,-213253,161355
6.44,0,0,0,165134,79180,-50477,332639,150657,-221427,-204410,34579,130526,-340258,-213265,161198
6.448,0,0,0,165038,79319,-50373,332496,150507,-221426,-204413,34741,130608,-340137,-213277,161049
6.456,0,0,0,164947,79452,-50274,332360,150365,-221425,-204416,34896,130685,-340021,-213287,160906
6.464,0,0,0,164860,79577,-50179,332230,150230,-221424,-204418,35043,130758,-339911,-213297,160771
6.472,0,0,0,164777,79695,-50091,332107,150102,-221423,-204421,35181,130827,-339807,-213306,160643
6.48,0,0,0,164700,79806,-50007,331992,149981,-221421,-204423,35312,130892,-339709,-213315,160523
6.488,0,0,0,164627,79910,-49929,331883,149869,-221420,-204425,35434,130953,-339617,-213323,160410
6.496,0,0,0,164560,80007,-49856,331782,149764,-221418,-204427,35547,131009,-339532,-213330,160305
6.504,0,0,0,164497,80097,-49789,331688,149666,-221417,-204428,35652,131061,-339452,-213337,160207
6.512,0,0,0,164440,80179,-49727,331602,149577,-221415,-204430,35749,131109,-339379,-213343,160118
6.52,0,0,0,164387,80254,-49671,331523,149495,-221414,-204431,35837,131152,-339312,-213348,160037
6.528,0,0,0,164340,80322,-49620,331453,149422,-221412,-204432,35916,131191,-339252,-213353,159963
6.536,0,0,0,164298,80381,-49575,331390,149357,-221411,-204416,35986,131226,-339199,-213357,159898
6.544,0,0,0,164262,80433,-49536,331335,149301,-221410,-204433,36047,131256,-339153,-213360,159842
6.552,0,0,0,164231,80477,-49503,331288,149252,-221409,-204434,36099,131281,-339113,-213364,159793
6.56,0,0,0,164205,80514,-49476,331250,149213,-221408,-204418,36142,131302,-339080,-213366,159754
6.568,0,0,0,164185,80542,-49455,331220,149182,-221392,-204435,36175,131319,-339055,-213368,159723
6.576,0,0,0,164171,80563,-49439,331199,149159,-221407,-204419,36199,131331,-339037,-213369,159701
6.584,0,0,0,164162,80575,-49430,331186,149146,-221391,-204435,36213,131338,-339026,-213370,159687
6.592,0,0,0,164159,80579,-49427,331181,149141,-221407,-204419,36218,131340,-339022,-213354,159683
