t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
4.392,0,0,0,122003,9705,-59975,229016,132082,-136726,-122004,-9706,59974,-229017,-132083,136725
4.4,0,0,0,122390,9767,-60159,229720,132434,-137103,-122391,-9768,60158,-229721,-132435,137102
4.408,0,0,0,122774,9829,-60341,230417,132782,-137475,-122775,-9830,60340,-230418,-132783,137474
4.416,0,0,0,123153,9890,-60521,231106,133125,-137843,-123154,-9891,60520,-231107,-133126,137842
4.424,0,0,0,123528,9951,-60698,231787,133465,-138207,-123529,-9952,60697,-231788,-133466,138206
4.432,0,0,0,123899,10011,-60874,232460,133801,-138567,-123900,-10012,60873,-232461,-133802,138566
4.44,0,0,0,124265,10070,-61048,233126,134133,-138922,-124266,-10071,61047,-233127,-134134,138921
4.448,0,0,0,124627,10129,-61219,233784,134461,-139273,-124628,-10130,61218,-233785,-134462,139272
4.456,0,0,0,124984,10188,-61388,234434,134784,-139620,-124985,-10189,61387,-234435,-134785,139619
4.464,0,0,0,125337,10246,-61555,235076,135104,-139963,-125338,-10247,61554,-235077,-135105,139962
4.472,0,0,0,125686,10303,-61720,235710,135419,-140301,-125687,-10304,61719,-235711,-135420,140300
4.48,0,0,0,126030,10360,-61883,236336,135730,-140635,-126031,-10361,61882,-236337,-135731,140634
4.488,0,0,0,126370,10416,-62044,236954,136038,-140964,-126371,-10417,62043,-236955,-136039,140963
4.496,0,0,0,126705,10472,-62202,237564,136341,-141289,-126706,-10473,62201,-237565,-136342,141288
4.504,0,0,0,127036,10527,-62358,238166,136640,-141610,-127037,-10528,62357,-238167,-136641,141609
4.512,0,0,0,127362,10581,-62512,238759,136934,-141926,-127363,-10582,62511,-238760,-136935,141925
4.52,0,0,0,127683,10635,-62664,239345,137225,-142238,-127684,-10636,62663,-239346,-137226,142237
4.528,0,0,0,128000,10688,-62814,239922,137511,-142546,-128001,-10689,62813,-239923,-137512,142545
4.536,0,0,0,128313,10741,-62961,240491,137793,-142849,-128314,-10742,62960,-240492,-137794,142848
4.544,0,0,0,128621,10793,-63106,241052,138071,-143147,-128622,-10794,63105,-241053,-138072,143146
4.552,0,0,0,128924,10844,-63249,241605,138345,-143441,-128925,-10845,63248,-241606,-138346,143440
4.56,0,0,0,129222,10894,-63390,242149,138614,-143730,-129223,-10895,63389,-242150,-138615,143729
4.568,0,0,0,129516,10944,-63529,242684,138879,-144015,-129517,-10945,63528,-242685,-138880,144014
4.576,0,0,0,129805,10993,-63665,243211,139140,-144295,-129806,-10994,63664,-243212,-139141,144294
4.584,0,0,0,130090,11042,-63799,243730,139396,-144571,-130091,-11043,63798,-243731,-139397,144570
4.592,0,0,0,130369,11090,-63931,244240,139648,-144842,-130370,-11091,63930,-244241,-139649,144841
4.6,0,0,0,130644,11137,-64060,244741,139896,-145108,-130645,-11138,64059,-244742,-139897,145107
4.608,0,0,0,130914,11183,-64187,245234,140139,-145370,-130915,-11184,64186,-245235,-140140,145369
4.616,0,0,0,131179,11229,-64312,245718,140378,-145627,-131180,-11230,64311,-245719,-140379,145626
4.624,0,0,0,131440,11274,-64435,246193,140613,-145879,-131441,-11275,64434,-246194,-140614,145878
4.632,0,0,0,131695,11318,-64555,246659,140843,-146127,-131696,-11319,64554,-246660,-140844,146126
4.64,0,0,0,131946,11361,-64673,247116,141069,-146370,-131947,-11362,64672,-247117,-141070,146369
4.648,0,0,0,132192,11404,-64788,247565,141290,-146608,-132193,-11405,64787,-247566,-141291,146607
4.656,0,0,0,132432,11446,-64901,248005,141506,-146841,-132433,-11447,64900,-248006,-141507,146840
4.664,0,0,0,132668,11487,-65012,248435,141719,-147069,-132669,-11488,65011,-248436,-141720,147068
4.672,0,0,0,132899,11527,-65120,248856,141926,-147293,-132900,-11528,65119,-248857,-141927,147292
4.68,0,0,0,133124,11566,-65227,249269,142129,-147512,-133125,-11567,65226,-249270,-142130,147511
4.688,0,0,0,133345,11605,-65330,249672,142328,-147725,-133346,-11606,65329,-249673,-142329,147724
4.696,0,0,0,133561,11643,-65431,250066,142522,-147934,-133562,-11644,65430,-250067,-142523,147933
4.704,0,0,0,133771,11679,-65530,250450,142711,-148138,-133772,-11680,65529,-250451,-142712,148137
4.712,0,0,0,133976,11716,-65627,250826,142895,-148337,-133977,-11717,65626,-250827,-142896,148336
4.72,0,0,0,134177,11751,-65720,251191,143075,-148531,-134178,-11752,65719,-251192,-143076,148530
4.728,0,0,0,134372,11785,-65812,251548,143250,-148719,-134373,-11786,65811,-251549,-143251,148718
4.736,0,0,0,134561,11819,-65901,251895,143421,-148903,-134562,-11820,65900,-251896,-143422,148902
4.744,0,0,0,134746,11851,-65987,252232,143587,-149082,-134747,-11852,65986,-252233,-143588,149081
4.752,0,0,0,134925,11883,-66071,252560,143748,-149255,-134926,-11884,66070,-252561,-143749,149254
4.76,0,0,0,135099,11914,-66153,252877,143904,-149424,-135100,-11915,66152,-252878,-143905,149423
4.768,0,0,0,135267,11944,-66232,253186,144055,-149587,-135268,-11945,66231,-253187,-144056,149586
4.776,0,0,0,135430,11973,-66308,253484,144201,-149745,-135431,-11974,66307,-253485,-144202,149744
4.784,0,0,0,135588,12001,-66382,253772,144343,-149897,-135589,-12002,66381,-253773,-144344,149896
4.792,0,0,0,135740,12028,-66454,254051,144480,-150045,-135741,-12029,66453,-254052,-144481,150044
4.8,0,0,0,135887,12054,-66522,254319,144611,-150187,-135888,-12055,66521,-254320,-144612,150186
4.808,0,0,0,136028,12079,-66588,254578,144738,-150323,-136029,-12080,66587,-254579,-144739,150322
4.816,0,0,0,136164,12103,-66652,254826,144860,-150455,-136165,-12104,66651,-254827,-144861,150454
4.824,0,0,0,136294,12127,-66713,255064,144977,-150581,-136295,-12128,66712,-255065,-144978,150580
4.832,0,0,0,136418,12149,-66771,255292,145088,-150701,-136419,-12150,66770,-255293,-145089,150700
4.84,0,0,0,136537,12170,-66827,255509,145195,-150816,-136538,-12171,66826,-255510,-145196,150815
4.848,0,0,0,136650,12191,-66880,255716,145296,-150926,-136651,-12192,66879,-255717,-145297,150925
4.856,0,0,0,136758,12210,-66930,255913,145392,-151029,-136759,-12211,66929,-255914,-145393,151028
4.864,0,0,0,136859,12228,-66977,256099,145483,-151128,-136860,-12229,66976,-256100,-145484,151127
4.872,0,0,0,136955,12245,-67022,256274,145569,-151220,-136956,-12246,67021,-256275,-145570,151219
