t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
1.352,0,0,0,16,16,16,5784,6657,-6708,16,16,16,-5785,-6658,6707
1.36,0,0,0,0,0,0,5838,6719,-6770,0,0,0,-5839,-6720,6769
1.368,0,0,0,16,16,16,5892,6781,-6833,16,16,16,-5893,-6782,6832
1.376,0,0,0,0,0,0,5946,6843,-6895,0,0,0,-5947,-6844,6894
1.384,0,0,0,16,16,16,6000,6905,-6957,16,16,16,-6001,-6906,6956
1.392,0,0,0,0,0,0,6053,6967,-7020,0,0,0,-6054,-6968,7019
1.4,0,0,0,16,16,16,6107,7029,-7083,16,16,16,-6108,-7030,7082
1.408,0,0,0,0,0,0,6161,7091,-7145,0,0,0,-6162,-7092,7144
1.416,0,0,0,16,16,16,6215,7153,-7208,16,16,16,-6216,-7154,7207
1.424,0,0,0,0,0,0,6270,7215,-7270,0,0,0,-6271,-7216,7269
1.432,0,0,0,16,16,16,6324,7278,-7333,16,16,16,-6325,-7279,7332
1.44,0,0,0,0,0,0,6378,7340,-7396,0,0,0,-6379,-7341,7395
1.448,0,0,0,16,16,16,6432,7402,-7459,16,16,16,-6433,-7403,7458
1.456,0,0,0,0,0,0,6486,7465,-7522,0,0,0,-6487,-7466,7521
1.464,0,0,0,16,16,16,6540,7527,-7584,16,16,16,-6541,-7528,7583
1.472,0,0,0,0,0,0,6594,7589,-7647,0,0,0,-6595,-7590,7646
1.48,0,0,0,16,16,16,6649,7652,-7710,16,16,16,-6650,-7653,7709
1.488,0,0,0,0,0,0,6703,7714,-7773,0,0,0,-6704,-7715,7772
1.496,0,0,0,16,16,16,6757,7776,-7836,16,16,16,-6758,-7777,7835
1.504,0,0,0,0,0,0,6811,7839,-7899,0,0,0,-6812,-7840,7898
1.512,0,0,0,16,16,16,6865,7901,-7961,16,16,16,-6866,-7902,7960
1.52,0,0,0,0,0,0,6920,7964,-8024,0,0,0,-6921,-7965,8023
1.528,0,0,0,16,16,16,6974,8026,-8087,16,16,16,-6975,-8027,8086
1.536,0,0,0,0,0,0,7028,8088,-8150,0,0,0,-7029,-8089,8149
1.544,0,0,0,16,16,16,7082,8151,-8213,16,16,16,-7083,-8152,8212
1.552,0,0,0,0,0,0,7136,8213,-8275,0,0,0,-7137,-8214,8274
1.56,0,0,0,16,16,16,7190,8275,-8338,16,16,16,-7191,-8276,8337
1.568,0,0,0,0,0,0,7244,8337,-8401,0,0,0,-7245,-8338,8400
1.576,0,0,0,16,16,16,7299,8400,-8464,16,16,16,-7300,-8401,8463
1.584,0,0,0,0,0,0,7353,8462,-8526,0,0,0,-7354,-8463,8525
1.592,0,0,0,16,16,16,7407,8524,-8589,16,16,16,-7408,-8525,8588
1.6,0,0,0,0,0,0,7461,8586,-8651,0,0,0,-7462,-8587,8650
1.608,0,0,0,16,16,16,7514,8648,-8714,16,16,16,-7515,-8649,8713
1.616,0,0,0,0,0,0,7568,8710,-8776,0,0,0,-7569,-8711,8775
1.624,0,0,0,16,16,16,7622,8772,-8839,16,16,16,-7623,-8773,8838
1.632,0,0,0,0,0,0,7676,8834,-8901,0,0,0,-7677,-8835,8900
1.64,0,0,0,16,16,16,7730,8896,-8963,16,16,16,-7731,-8897,8962
1.648,0,0,0,0,0,0,7783,8958,-9026,0,0,0,-7784,-8959,9025
1.656,0,0,0,16,16,16,7837,9019,-9088,16,16,16,-7838,-9020,9087
1.664,0,0,0,0,0,0,7890,9081,-9150,0,0,0,-7891,-9082,9149
1.672,0,0,0,16,16,16,7944,9143,-9212,16,16,16,-7945,-9144,9211
1.68,0,0,0,0,0,0,7997,9204,-9274,0,0,0,-7998,-9205,9273
1.688,0,0,0,16,16,16,8051,9265,-9336,16,16,16,-8052,-9266,9335
1.696,0,0,0,0,0,0,8104,9327,-9398,0,0,0,-8105,-9328,9397
1.704,0,0,0,16,16,16,8157,9388,-9459,16,16,16,-8158,-9389,9458
1.712,0,0,0,0,0,0,8210,9449,-9521,0,0,0,-8211,-9450,9520
1.72,0,0,0,16,16,16,8263,9510,-9582,16,16,16,-8264,-9511,9581
1.728,0,0,0,0,0,0,8316,9571,-9644,0,0,0,-8317,-9572,9643
1.736,0,0,0,16,16,16,8369,9632,-9705,16,16,16,-8370,-9633,9704
1.744,0,0,0,0,0,0,8422,9693,-9766,0,0,0,-8423,-9694,9765
1.752,0,0,0,16,16,16,8475,9753,-9827,16,16,16,-8476,-9754,9826
1.76,0,0,0,0,0,0,8527,9814,-9888,0,0,0,-8528,-9815,9887
1.768,0,0,0,16,16,16,8580,9874,-9949,16,16,16,-8581,-9875,9948
1.776,0,0,0,0,0,0,8632,9934,-10010,0,0,0,-8633,-9935,10009
1.784,0,0,0,16,16,16,8684,9994,-10070,16,16,16,-8685,-9995,10069
1.792,0,0,0,0,0,0,8736,10054,-10131,0,0,0,-8737,-10055,10130
1.8,0,0,0,16,16,16,8788,10114,-10191,16,16,16,-8789,-10115,10190
1.808,0,0,0,0,0,0,8840,10174,-10251,0,0,0,-8841,-10175,10250
1.816,0,0,0,16,16,16,8892,10234,-10311,16,16,16,-8893,-10235,10310
1.824,0,0,0,0,0,0,8944,10293,-10371,0,0,0,-8945,-10294,10370
1.832,0,0,0,16,16,16,8995,10352,-10431,16,16,16,-8996,-10353,10430
1.84,0,0,0,0,0,0,9047,10412,-10491,0,0,0,-9048,-10413,10490
1.848,0,0,0,16,16,16,9098,10471,-10550,16,16,16,-9099,-10472,10549
1.856,0,0,0,0,0,0,9149,10529,-10609,0,0,0,-9150,-10530,10608
1.864,0,0,0,16,16,16,9200,10588,-10668,16,16,16,-9201,-10589,10667
1.872,0,0,0,0,0,0,9251,10647,-10727,0,0,0,-9252,-10648,10726
1.88,0,0,0,16,16,16,9302,10705,-10786,16,16,16,-9303,-10706,10785
1.888,0,0,0,0,0,0,9352,10763,-10845,0,0,0,-9353,-10764,10844
1.896,0,0,0,16,16,16,9403,10821,-10903,16,16,16,-9404,-10822,10902
1.904,0,0,0,0,0,0,9453,10879,-10962,0,0,0,-9454,-10880,10961
1.912,0,0,0,16,16,16,9503,10937,-11020,16,16,16,-9504,-10938,11019
1.92,0,0,0,0,0,0,9553,10994,-11078,0,0,0,-9554,-10995,11077
1.928,0,0,0,16,16,16,9603,11051,-11135,16,16,16,-9604,-11052,11134
1.936,0,0,0,0,0,0,9652,11109,-11193,0,0,0,-9653,-11110,11192
1.944,0,0,0,16,16,16,9702,11165,-11250,16,16,16,-9703,-11166,11249
1.952,0,0,0,0,0,0,9751,11222,-11307,0,0,0,-9752,-11223,11306
1.96,0,0,0,16,16,16,9800,11279,-11364,16,16,16,-9801,-11280,11363
1.968,0,0,0,0,0,0,9849,11335,-11421,0,0,0,-9850,-11336,11420
1.976,0,0,0,16,16,16,9898,11391,-11477,16,16,16,-9899,-11392,11476
1.984,0,0,0,0,0,0,9946,11447,-11534,0,0,0,-9947,-11448,11533
1.992,0,0,0,16,16,16,9995,11502,-11590,16,16,16,-9996,-11503,11589
2,0,0,0,0,0,0,10043,11558,-11645,0,0,0,-10044,-11559,11644
2.008,0,0,0,16,16,16,10091,11613,-11701,16,16,16,-10092,-11614,11700
2.016,0,0,0,0,0,0,10138,11668,-11756,0,0,0,-10139,-11669,11755
2.024,0,0,0,16,16,16,10186,11723,-11811,16,16,16,-10187,-11724,11810
2.032,0,0,0,0,0,0,10233,11777,-11866,0,0,0,-10234,-11778,11865
2.04,0,0,0,16,16,16,10280,11831,-11921,16,16,16,-10281,-11832,11920
2.048,0,0,0,0,0,0,10327,11885,-11975,0,0,0,-10328,-11886,11974
2.056,0,0,0,16,16,16,10374,11939,-12030,16,16,16,-10375,-11940,12029
2.064,0,0,0,0,0,0,10421,11993,-12084,0,0,0,-10422,-11994,12083
2.072,0,0,0,16,16,16,10467,12046,-12137,16,16,16,-10468,-12047,12136
2.08,0,0,0,0,0,0,10513,12099,-12191,0,0,0,-10514,-12100,12190
2.088,0,0,0,16,16,16,10559,12152,-12244,16,16,16,-10560,-12153,12243
2.096,0,0,0,0,0,0,10604,12204,-12297,0,0,0,-10605,-12205,12296
2.104,0,0,0,16,16,16,10650,12256,-12349,16,16,16,-10651,-12257,12348
2.112,0,0,0,0,0,0,10695,12308,-12402,0,0,0,-10696,-12309,12401
2.12,0,0,0,16,16,16,10740,12360,-12454,16,16,16,-10741,-12361,12453
2.128,0,0,0,0,0,0,10784,12411,-12505,0,0,0,-10785,-12412,12504
2.136,0,0,0,16,16,16,10829,12463,-12557,16,16,16,-10830,-12464,12556
2.144,0,0,0,0,0,0,10873,12513,-12608,0,0,0,-10874,-12514,12607
2.152,0,0,0,16,16,16,10917,12564,-12659,16,16,16,-10918,-12565,12658
2.16,0,0,0,0,0,0,10961,12614,-12710,0,0,0,-10962,-12615,12709
2.168,0,0,0,16,16,16,11004,12664,-12760,16,16,16,-11005,-12665,12759
2.176,0,0,0,0,0,0,11047,12714,-12810,0,0,0,-11048,-12715,12809
2.184,0,0,0,16,16,16,11090,12763,-12860,16,16,16,-11091,-12764,12859
2.192,0,0,0,0,0,0,11133,12812,-12909,0,0,0,-11134,-12813,12908
2.2,0,0,0,16,16,16,11175,12861,-12958,16,16,16,-11176,-12862,12957
2.208,0,0,0,0,0,0,11217,12909,-13007,0,0,0,-11218,-12910,13006
2.216,0,0,0,16,16,16,11259,12957,-13055,16,16,16,-11260,-12958,13054
2.224,0,0,0,0,0,0,11300,13005,-13104,0,0,0,-11301,-13006,13103
2.232,0,0,0,16,16,16,11341,13053,-13151,16,16,16,-11342,-13054,13150
2.24,0,0,0,0,0,0,11382,13100,-13199,0,0,0,-11383,-13101,13198
2.248,0,0,0,16,16,16,11423,13146,-13246,16,16,16,-11424,-13147,13245
2.256,0,0,0,0,0,0,11463,13193,-13293,0,0,0,-11464,-13194,13292
2.264,0,0,0,16,16,16,11503,13239,-13339,16,16,16,-11504,-13240,13338
2.272,0,0,0,0,0,0,11543,13285,-13385,0,0,0,-11544,-13286,13384
2.28,0,0,0,16,16,16,11583,13330,-13431,16,16,16,-11584,-13331,13430
2.288,0,0,0,0,0,0,11622,13375,-13476,0,0,0,-11623,-13376,13475
2.296,0,0,0,16,16,16,11661,13420,-13522,16,16,16,-11662,-13421,13521
2.304,0,0,0,0,0,0,11699,13464,-13566,0,0,0,-11700,-13465,13565
2.312,0,0,0,16,16,16,11738,13508,-13611,16,16,16,-11739,-13509,13610
2.32,0,0,0,0,0,0,11775,13552,-13655,0,0,0,-11776,-13553,13654
2.328,0,0,0,16,16,16,11813,13595,-13698,16,16,16,-11814,-13596,13697
2.336,0,0,0,0,0,0,11850,13638,-13741,0,0,0,-11851,-13639,13740
2.344,0,0,0,16,16,16,11887,13681,-13784,16,16,16,-11888,-13682,13783
2.352,0,0,0,0,0,0,11924,13723,-13827,0,0,0,-11925,-13724,13826
2.36,0,0,0,16,16,16,11960,13765,-13869,16,16,16,-11961,-13766,13868
2.368,0,0,0,0,0,0,11996,13806,-13910,0,0,0,-11997,-13807,13909
2.376,0,0,0,16,16,16,12032,13847,-13952,16,16,16,-12033,-13848,13951
2.384,0,0,0,0,0,0,12067,13888,-13993,0,0,0,-12068,-13889,13992
2.392,0,0,0,16,16,16,12102,13928,-14033,16,16,16,-12103,-13929,14032
2.4,0,0,0,0,0,0,12137,13968,-14073,0,0,0,-12138,-13969,14072
2.408,0,0,0,16,16,16,12171,14007,-14113,16,16,16,-12172,-14008,14112
2.416,0,0,0,0,0,0,12205,14046,-14152,0,0,0,-12206,-14047,14151
2.424,0,0,0,16,16,16,12238,14085,-14191,16,16,16,-12239,-14086,14190
2.432,0,0,0,0,0,0,12271,14123,-14230,0,0,0,-12272,-14124,14229
2.44,0,0,0,16,16,16,12304,14160,-14268,16,16,16,-12305,-14161,14267
2.448,0,0,0,0,0,0,12337,14198,-14305,0,0,0,-12338,-14199,14304
2.456,0,0,0,16,16,16,12369,14235,-14342,16,16,16,-12370,-14236,14341
2.464,0,0,0,0,0,0,12400,14271,-14379,0,0,0,-12401,-14272,14378
2.472,0,0,0,16,16,16,12432,14307,-14415,16,16,16,-12433,-14308,14414
2.48,0,0,0,0,0,0,12463,14343,-14451,0,0,0,-12464,-14344,14450
2.488,0,0,0,16,16,16,12493,14378,-14487,16,16,16,-12494,-14379,14486
2.496,0,0,0,0,0,0,12523,14413,-14522,0,0,0,-12524,-14414,14521
2.504,0,0,0,16,16,16,12553,14447,-14556,16,16,16,-12554,-14448,14555
2.512,0,0,0,0,0,0,12583,14481,-14590,0,0,0,-12584,-14482,14589
2.52,0,0,0,16,16,16,12612,14514,-14624,16,16,16,-12613,-14515,14623
2.528,0,0,0,0,0,0,12640,14547,-14657,0,0,0,-12641,-14548,14656
2.536,0,0,0,16,16,16,12668,14580,-14690,16,16,16,-12669,-14581,14689
2.544,0,0,0,0,0,0,12696,14612,-14722,0,0,0,-12697,-14613,14721
2.552,0,0,0,16,16,16,12724,14643,-14754,16,16,16,-12725,-14644,14753
2.56,0,0,0,0,0,0,12751,14674,-14785,0,0,0,-12752,-14675,14784
2.568,0,0,0,16,16,16,12777,14705,-14816,16,16,16,-12778,-14706,14815
2.576,0,0,0,0,0,0,12803,14735,-14846,0,0,0,-12804,-14736,14845
