t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
1.376,0,0,0,0,0,0,0,0,0,0,0,0,0,-6844,6894
1.384,0,0,0,0,0,0,0,0,0,0,0,0,0,-6906,6956
1.392,0,0,0,0,0,0,0,0,0,0,0,0,0,-6968,7019
1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-7030,7082
1.408,0,0,0,0,0,0,0,0,0,0,0,0,0,-7092,7144
1.416,0,0,0,0,0,0,0,0,0,0,0,0,0,-7154,7207
1.424,0,0,0,0,0,0,0,0,0,0,0,0,0,-7216,7269
1.432,0,0,0,0,0,0,0,0,0,0,0,0,0,-7279,7332
1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,-7341,7395
1.448,0,0,0,0,0,0,0,0,0,0,0,0,0,-7403,7458
1.456,0,0,0,0,0,0,0,0,0,0,0,0,0,-7466,7521
1.464,0,0,0,0,0,0,0,0,0,0,0,0,0,-7528,7583
1.472,0,0,0,0,0,0,0,0,0,0,0,0,0,-7590,7646
1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,-7653,7709
1.488,0,0,0,0,0,0,0,0,0,0,0,0,0,-7715,7772
1.496,0,0,0,0,0,0,0,0,0,0,0,0,0,-7777,7835
1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,-7840,7898
1.512,0,0,0,0,0,0,0,0,0,0,0,0,0,-7902,7960
1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,-7965,8023
1.528,0,0,0,0,0,0,0,0,0,0,0,0,0,-8027,8086
1.536,0,0,0,0,0,0,0,0,0,0,0,0,0,-8089,8149
1.544,0,0,0,0,0,0,0,0,0,0,0,0,0,-8152,8212
1.552,0,0,0,0,0,0,0,0,0,0,0,0,0,-8214,8274
1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,-8276,8337
1.568,0,0,0,0,0,0,0,0,0,0,0,0,0,-8338,8400
1.576,0,0,0,0,0,0,0,0,0,0,0,0,0,-8401,8463
1.584,0,0,0,0,0,0,0,0,0,0,0,0,0,-8463,8525
1.592,0,0,0,0,0,0,0,0,0,0,0,0,0,-8525,8588
1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-8587,8650
1.608,0,0,0,0,0,0,0,0,0,0,0,0,0,-8649,8713
1.616,0,0,0,0,0,0,0,0,0,0,0,0,0,-8711,8775
1.624,0,0,0,0,0,0,0,0,0,0,0,0,0,-8773,8838
1.632,0,0,0,0,0,0,0,0,0,0,0,0,0,-8835,8900
1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,-8897,8962
1.648,0,0,0,0,0,0,0,0,0,0,0,0,0,-8959,9025
