t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
7.328,0,0,0,121686,-35275,-73748,375770,283182,-265204,-99892,-46123,38543,-237958,-135797,179993
7.336,0,0,0,125568,-34748,-76087,380871,284532,-266767,-99892,-46123,38543,-237958,-135797,179993
7.344,0,0,0,129305,-34214,-78335,385663,285736,-268157,-99892,-46123,38543,-237958,-135797,179993
7.352,0,0,0,132896,-33677,-80490,390139,286795,-269375,-99892,-46123,38543,-237958,-135797,179993
7.36,0,0,0,136338,-33137,-82552,394298,287710,-270420,-99892,-46123,38543,-237958,-135797,179993
7.368,0,0,0,139631,-32596,-84518,398134,288482,-271293,-99892,-46123,38543,-237958,-135797,179993
7.376,0,0,0,142772,-32057,-86390,401647,289114,-271996,-99892,-46123,38543,-237958,-135797,179993
7.384,0,0,0,145762,-31522,-88165,404835,289605,-272529,-99892,-46123,38543,-237958,-135797,179993
7.392,0,0,0,148598,-30992,-89843,407697,289958,-272893,-99892,-46123,38543,-237958,-135797,179993
7.4,0,0,0,151281,-30469,-91424,410233,290173,-273091,-99892,-46123,38543,-237958,-135797,179993
7.408,0,0,0,153808,-29956,-92907,412443,290253,-273125,-99892,-46123,38543,-237958,-135797,179993
7.416,0,0,0,156181,-29453,-94293,414329,290199,-272995,-99892,-46123,38543,-237958,-135797,179993
7.424,0,0,0,158399,-28963,-95581,415891,290012,-272705,-99892,-46123,38543,-237958,-135797,179993
7.432,0,0,0,160461,-28488,-96772,417133,289693,-272256,-99892,-46123,38543,-237958,-135797,179993
7.44,0,0,0,162367,-28029,-97865,418056,289243,-271650,-99892,-46123,38543,-237958,-135797,179993
7.448,0,0,0,164118,-27587,-98861,418664,288665,-270891,-99892,-46123,38543,-237958,-135797,179993
7.456,0,0,0,165713,-27165,-99761,418962,287959,-269981,-99892,-46123,38543,-237958,-135797,179993
7.464,0,0,0,167152,-26764,-100565,418952,287127,-268923,-99892,-46123,38543,-237958,-135797,179993
7.472,0,0,0,168437,-26385,-101274,418640,286170,-267719,-99892,-46123,38543,-237958,-135797,179993
7.48,0,0,0,169567,-26029,-101888,418031,285090,-266373,-99892,-46123,38543,-237958,-135797,179993
7.488,0,0,0,170544,-25698,-102408,417131,283889,-264887,-99892,-46123,38543,-237958,-135797,179993
7.496,0,0,0,171369,-25393,-102837,415946,282568,-263266,-99892,-46123,38543,-237958,-135797,179993
7.504,0,0,0,172042,-25115,-103174,414483,281129,-261513,-99892,-46123,38543,-237958,-135797,179993
7.512,0,0,0,172566,-24864,-103421,412749,279574,-259631,-99892,-46123,38543,-237958,-135797,179993
7.52,0,0,0,172941,-24641,-103579,410750,277906,-257624,-99892,-46123,38543,-237958,-135797,179993
7.528,0,0,0,173170,-24447,-103651,408496,276127,-255497,-99892,-46123,38543,-237958,-135797,179993
7.536,0,0,0,173255,-24282,-103637,405994,274239,-253254,-99892,-46123,38543,-237958,-135797,179993
7.544,0,0,0,173197,-24147,-103540,403254,272247,-250899,-99892,-46123,38543,-237958,-135797,179993
7.552,0,0,0,173000,-24041,-103362,400283,270151,-248437,-99892,-46123,38543,-237958,-135797,179993
7.56,0,0,0,172666,-23964,-103104,397092,267957,-245872,-99892,-46123,38543,-237958,-135797,179993
7.568,0,0,0,172198,-23916,-102768,393690,265668,-243210,-99892,-46123,38543,-237958,-135797,179993
7.576,0,0,0,171600,-23896,-102358,390088,263287,-240456,-99892,-46123,38543,-237958,-135797,179993
7.584,0,0,0,170876,-23905,-101875,386296,260819,-237616,-99892,-46123,38543,-237958,-135797,179993
7.592,0,0,0,170028,-23940,-101322,382324,258269,-234695,-99892,-46123,38543,-237958,-135797,179993
7.6,0,0,0,169062,-24003,-100701,378184,255640,-231698,-99892,-46123,38543,-237958,-135797,179993
7.608,0,0,0,167981,-24090,-100015,373887,252939,-228633,-99892,-46123,38543,-237958,-135797,179993
7.616,0,0,0,166791,-24202,-99268,369445,250170,-225504,-99892,-46123,38543,-237958,-135797,179993
7.624,0,0,0,165496,-24337,-98462,364871,247340,-222320,-99892,-46123,38543,-237958,-135797,179993
7.632,0,0,0,164102,-24494,-97600,360176,244454,-219085,-99892,-46123,38543,-237958,-135797,179993
7.64,0,0,0,162615,-24671,-96686,355374,241518,-215809,-99892,-46123,38543,-237958,-135797,179993
7.648,0,0,0,161040,-24867,-95724,350478,238539,-212496,-99892,-46123,38543,-237958,-135797,179993
7.656,0,0,0,159384,-25080,-94716,345501,235524,-209156,-99892,-46123,38543,-237958,-135797,179993
7.664,0,0,0,157653,-25308,-93668,340458,232480,-205796,-99892,-46123,38543,-237958,-135797,179993
7.672,0,0,0,155855,-25549,-92582,335363,229415,-202423,-99892,-46123,38543,-237958,-135797,179993
7.68,0,0,0,153997,-25803,-91463,330231,226337,-199047,-99892,-46123,38543,-237958,-135797,179993
7.688,0,0,0,152087,-26067,-90316,325077,223254,-195675,-99892,-46123,38543,-237958,-135797,179993
7.696,0,0,0,150133,-26338,-89145,319918,220174,-192317,-99892,-46123,38543,-237958,-135797,179993
7.704,0,0,0,148144,-26616,-87955,314770,217106,-188982,-99892,-46123,38543,-237958,-135797,179993
7.712,0,0,0,146128,-26899,-86752,309650,214061,-185679,-99892,-46123,38543,-237958,-135797,179993
7.72,0,0,0,144095,-27183,-85541,304576,211048,-182419,-99892,-46123,38543,-237958,-135797,179993
7.728,0,0,0,142056,-27468,-84327,299565,208077,-179213,-99892,-46123,38543,-237958,-135797,179993
7.736,0,0,0,140020,-27752,-83116,294638,205158,-176070,-99892,-46123,38543,-237958,-135797,179993
7.744,0,0,0,137999,-28032,-81916,289814,202304,-173003,-99892,-46123,38543,-237958,-135797,179993
7.752,0,0,0,136004,-28307,-80732,285112,199525,-170022,-99892,-46123,38543,-237958,-135797,179993
7.76,0,0,0,134047,-28575,-79571,280555,196834,-167141,-99892,-46123,38543,-237958,-135797,179993
7.768,0,0,0,132140,-28835,-78441,276163,194242,-164371,-99892,-46123,38543,-237958,-135797,179993
7.776,0,0,0,130295,-29084,-77348,271959,191763,-161726,-99892,-46123,38543,-237958,-135797,179993
7.784,0,0,0,128527,-29321,-76301,267965,189410,-159218,-99892,-46123,38543,-237958,-135797,179993
7.792,0,0,0,126847,-29544,-75307,264205,187195,-156862,-99892,-46123,38543,-237958,-135797,179993
7.8,0,0,0,125270,-29751,-74373,260702,185133,-154670,-99892,-46123,38543,-237958,-135797,179993
7.808,0,0,0,123809,-29942,-73509,257480,183237,-152657,-99892,-46123,38543,-237958,-135797,179993
7.816,0,0,0,122477,-30115,-72721,254561,181520,-150836,-99892,-46123,38543,-237958,-135797,179993
7.824,0,0,0,121287,-30268,-72017,251968,179996,-149221,-99892,-46123,38543,-237958,-135797,179993
7.832,0,0,0,120252,-30400,-71405,249723,178677,-147824,-99892,-46123,38543,-237958,-135797,179993
7.84,0,0,0,119384,-30510,-70892,247848,177575,-146658,-99892,-46123,38543,-237958,-135797,179993
7.848,0,0,0,118694,-30597,-70484,246362,176702,-145734,-99892,-46123,38543,-237958,-135797,179993
7.856,0,0,0,118192,-30660,-70186,245283,176067,-145064,-99892,-46123,38543,-237958,-135797,179993
7.864,0,0,0,117885,-30699,-70005,244625,175681,-144656,-99892,-46123,38543,-237958,-135797,179993
7.872,0,0,0,117782,-30712,-69944,244404,175551,-144518,-99892,-46123,38543,-237958,-135797,179993
7.88,0,0,0,117782,-30712,-69944,244404,175551,-144518,-99892,-46123,38543,-237958,-135797,179993
7.888,0,0,0,117783,-30700,-69941,244411,175550,-144528,-99898,-46112,38549,-237968,-135807,179993
7.896,0,0,0,117787,-30663,-69933,244433,175545,-144558,-99917,-46079,38566,-237996,-135839,179992
7.904,0,0,0,117793,-30603,-69920,244469,175538,-144608,-99948,-46024,38594,-238043,-135891,179990
7.912,0,0,0,117801,-30519,-69901,244519,175527,-144677,-99992,-45948,38634,-238107,-135963,179988
7.92,0,0,0,117812,-30413,-69877,244582,175514,-144764,-100047,-45851,38683,-238189,-136054,179984
7.928,0,0,0,117824,-30285,-69848,244658,175498,-144869,-100113,-45734,38743,-238288,-136164,179980
7.936,0,0,0,117839,-30135,-69814,244747,175478,-144992,-100191,-45597,38814,-238403,-136293,179975
7.944,0,0,0,117855,-29964,-69775,244848,175456,-145132,-100279,-45441,38894,-238533,-136440,179969
7.952,0,0,0,117873,-29772,-69730,244960,175431,-145289,-100378,-45266,38984,-238679,-136604,179961
7.96,0,0,0,117893,-29560,-69681,245083,175402,-145462,-100487,-45072,39083,-238839,-136785,179952
7.968,0,0,0,117913,-29328,-69627,245217,175371,-145650,-100605,-44861,39192,-239014,-136983,179942
7.976,0,0,0,117935,-29078,-69568,245361,175336,-145854,-100733,-44632,39309,-239201,-137196,179931
7.984,0,0,0,117958,-28808,-69505,245514,175298,-146071,-100870,-44385,39436,-239401,-137424,179917
7.992,0,0,0,117981,-28521,-69436,245676,175256,-146303,-101015,-44123,39570,-239613,-137667,179902
8,0,0,0,118005,-28216,-69363,245847,175211,-146548,-101168,-43843,39713,-239837,-137924,179885
8.008,0,0,0,118030,-27894,-69284,246025,175163,-146806,-101330,-43548,39864,-240071,-138194,179866
8.016,0,0,0,118054,-27556,-69201,246211,175111,-147076,-101499,-43238,40023,-240315,-138477,179844
8.024,0,0,0,118079,-27201,-69114,246403,175055,-147358,-101675,-42912,40189,-240568,-138772,179820
8.032,0,0,0,118103,-26831,-69021,246601,174995,-147651,-101857,-42573,40363,-240830,-139080,179793
8.04,0,0,0,118127,-26446,-68924,246805,174932,-147955,-102046,-42219,40543,-241100,-139398,179764
8.048,0,0,0,118151,-26047,-68822,247014,174865,-148268,-102241,-41851,40731,-241377,-139727,179731
8.056,0,0,0,118173,-25634,-68715,247227,174793,-148591,-102442,-41471,40924,-241661,-140065,179696
8.064,0,0,0,118195,-25207,-68604,247444,174718,-148923,-102648,-41077,41124,-241951,-140413,179657
8.072,0,0,0,118216,-24768,-68487,247664,174638,-149264,-102858,-40672,41331,-242246,-140770,179615
8.08,0,0,0,118235,-24316,-68367,247888,174554,-149612,-103074,-40254,41542,-242546,-141135,179569
8.088,0,0,0,118253,-23852,-68242,248113,174465,-149967,-103293,-39825,41760,-242850,-141508,179520
8.096,0,0,0,118269,-23378,-68112,248340,174372,-150329,-103516,-39385,41983,-243158,-141888,179466
8.104,0,0,0,118283,-22892,-67978,248568,174275,-150698,-103742,-38935,42210,-243468,-142274,179409
8.112,0,0,0,118296,-22396,-67839,248797,174173,-151072,-103972,-38474,42443,-243780,-142667,179348
8.12,0,0,0,118306,-21890,-67696,249026,174067,-151451,-104204,-38004,42680,-244094,-143065,179283
8.128,0,0,0,118314,-21375,-67549,249255,173956,-151834,-104438,-37525,42921,-244410,-143468,179214
8.136,0,0,0,118320,-20851,-67398,249483,173841,-152222,-104675,-37037,43167,-244725,-143876,179140
8.144,0,0,0,118324,-20319,-67242,249710,173720,-152614,-104913,-36541,43416,-245041,-144287,179062
8.152,0,0,0,118325,-19780,-67083,249935,173596,-153009,-105153,-36037,43669,-245356,-144702,178980
8.16,0,0,0,118323,-19233,-66919,250158,173466,-153406,-105394,-35525,43925,-245670,-145120,178893
8.168,0,0,0,118318,-18679,-66752,250379,173332,-153806,-105636,-35007,44184,-245983,-145540,178802
8.176,0,0,0,118311,-18119,-66581,250597,173193,-154207,-105878,-34482,44446,-246293,-145962,178706
8.184,0,0,0,118301,-17554,-66407,250812,173050,-154610,-106121,-33951,44710,-246602,-146386,178605
8.192,0,0,0,118288,-16983,-66228,251023,172902,-155013,-106363,-33414,44977,-246907,-146811,178500
8.2,0,0,0,118271,-16407,-66047,251230,172750,-155417,-106605,-32872,45245,-247209,-147236,178390
8.208,0,0,0,118252,-15828,-65862,251433,172593,-155821,-106847,-32326,45516,-247507,-147662,178276
8.216,0,0,0,118230,-15245,-65674,251632,172432,-156225,-107087,-31775,45788,-247802,-148087,178157
8.224,0,0,0,118204,-14658,-65483,251826,172267,-156628,-107327,-31221,46061,-248091,-148512,178034
8.232,0,0,0,118176,-14069,-65290,252015,172097,-157029,-107565,-30663,46335,-248377,-148936,177906
8.24,0,0,0,118144,-13477,-65094,252199,171923,-157429,-107802,-30102,46610,-248657,-149358,177774
8.248,0,0,0,118109,-12884,-64895,252377,171746,-157827,-108037,-29539,46886,-248931,-149779,177637
8.256,0,0,0,118071,-12290,-64694,252549,171564,-158223,-108270,-28974,47162,-249201,-150197,177497
8.264,0,0,0,118030,-11695,-64491,252716,171379,-158616,-108501,-28407,47438,-249464,-150613,177352
8.272,0,0,0,117986,-11099,-64285,252877,171190,-159006,-108730,-27839,47714,-249721,-151026,177203
8.28,0,0,0,117939,-10504,-64079,253031,170997,-159393,-108955,-27271,47990,-249972,-151435,177050
8.288,0,0,0,117889,-9909,-63870,253180,170802,-159776,-109179,-26703,48265,-250217,-151842,176894
8.296,0,0,0,117836,-9316,-63660,253322,170603,-160156,-109399,-26135,48538,-250454,-152244,176734
8.304,0,0,0,117780,-8725,-63449,253457,170401,-160531,-109616,-25567,48811,-250685,-152642,176571
8.312,0,0,0,117722,-8135,-63237,253586,170197,-160901,-109830,-25001,49083,-250910,-153036,176404
8.32,0,0,0,117661,-7548,-63025,253709,169990,-161267,-110040,-24437,49353,-251127,-153424,176234
8.328,0,0,0,117597,-6965,-62811,253825,169780,-161628,-110247,-23875,49621,-251337,-153808,176062
8.336,0,0,0,117531,-6384,-62598,253935,169569,-161984,-110451,-23316,49887,-251539,-154187,175886
8.344,0,0,0,117463,-5808,-62384,254038,169356,-162334,-110650,-22759,50151,-251735,-154560,175709
8.352,0,0,0,117392,-5237,-62171,254134,169141,-162678,-110846,-22207,50412,-251923,-154927,175529
8.36,0,0,0,117319,-4670,-61957,254224,168925,-163016,-111037,-21658,50671,-252104,-155289,175347
8.368,0,0,0,117245,-4109,-61745,254308,168708,-163348,-111225,-21114,50927,-252278,-155644,175163
8.376,0,0,0,117168,-3554,-61533,254386,168490,-163674,-111408,-20575,51179,-252444,-155992,174978
8.384,0,0,0,117090,-3005,-61322,254457,168271,-163994,-111588,-20042,51428,-252603,-156334,174792
8.392,0,0,0,117011,-2463,-61113,254522,168053,-164306,-111762,-19515,51674,-252755,-156669,174605
8.4,0,0,0,116930,-1929,-60905,254582,167834,-164612,-111933,-18994,51916,-252900,-156997,174417
8.408,0,0,0,116848,-1402,-60699,254636,167616,-164911,-112099,-18480,52154,-253038,-157318,174229
8.416,0,0,0,116765,-883,-60495,254684,167398,-165202,-112260,-17973,52388,-253169,-157631,174041
8.424,0,0,0,116682,-374,-60294,254727,167182,-165486,-112417,-17474,52617,-253294,-157937,173853
8.432,0,0,0,116598,127,-60095,254764,166967,-165763,-112569,-16984,52842,-253411,-158235,173666
8.44,0,0,0,116513,618,-59899,254797,166753,-166032,-112716,-16503,53062,-253522,-158525,173480
8.448,0,0,0,116428,1099,-59705,254824,166542,-166293,-112859,-16031,53278,-253627,-158808,173295
8.456,0,0,0,116344,1569,-59516,254848,166333,-166547,-112997,-15569,53488,-253725,-159082,173112
8.464,0,0,0,116259,2028,-59329,254867,166127,-166792,-113130,-15117,53693,-253817,-159347,172930
8.472,0,0,0,116175,2476,-59147,254882,165924,-167030,-113258,-14676,53892,-253904,-159605,172751
8.48,0,0,0,116092,2912,-58969,254893,165724,-167259,-113381,-14246,54085,-253984,-159853,172575
8.488,0,0,0,116009,3335,-58795,254900,165528,-167480,-113500,-13828,54273,-254059,-160093,172402
8.496,0,0,0,115928,3746,-58625,254904,165337,-167693,-113614,-13423,54455,-254129,-160325,172232
8.504,0,0,0,115848,4143,-58461,254906,165150,-167897,-113723,-13030,54630,-254194,-160547,172065
